src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
45.179.193.111,10.10.10.10,53,22,17,2021-09-21 22:45:24,0.0,0,0,0,0,1,0,1490,0,1490.0,1490.0,1490.0,0.0,0.0,0.0,0.0,0.0,1490,1490,1490.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1490.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.0,0.0,0,1,0,1490,0
36.91.140.93,10.10.10.10,53,22,17,2021-09-21 22:45:24,12016.0,251997.33688415444,166.44474034620504,166.44474034620504,0.0,2,0,3028,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1514.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514.0,0.0,0,2,0,3028,0
84.27.192.106,10.10.10.10,50324,22,6,2021-09-21 22:45:24,41537.0,4333.485807833979,72.22476346389966,72.22476346389966,0.0,3,0,180,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,20768.5,41537.0,0.0,20768.5,41537.0,41537.0,0.0,20768.5,20768.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,60.0,260,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0,3,0,180,0
36.91.157.217,10.10.10.10,53,22,17,2021-09-21 22:45:24,166047.0,91179.00353514367,60.22391250669991,60.22391250669991,0.0,10,0,15140,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,80,0,8,10,18449.666666666668,30522.0,14988.0,6318.625501026487,166047.0,30522.0,14988.0,18449.666666666668,6318.625501026487,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1514.0,0,0,0.0,0.0,0.0,0.0,15519.0,14504.0,15175.666666666666,474.9795317227423,14720.0,10.0,0.0,0.0,88649.59920986227,0.0,1514.0,0.0,0,10,0,15140,0
162.159.138.232,10.10.10.10,443,59688,6,2021-09-21 22:45:24,29244011.0,528.3133014824813,1.7439468204276083,1.7439468204276083,0.0,51,0,15450,0,1799.0,60.0,302.94117647058823,529.0897626414154,0.0,0.0,0.0,0.0,1799,60,302.94117647058823,529.0897626414154,279935.97693194926,1020,0,20,51,584880.22,1028058.0,0.0,469260.2139359053,29244011.0,1028057.9999999999,0.0,584880.22,469260.2139359053,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,302.94117647058823,78,0,1027954.0,40.0,523317.77777777775,419934.06145271525,1024698.0,6508.0,382271.3333333333,453786.05315951357,3141.0,7.25,0.0,0.0,3423.070415697083,0.0,302.94117647058823,0.0,0,51,0,15450,0
162.159.133.234,10.10.10.10,443,43520,6,2021-09-21 22:45:24,28992143.0,482.23410045956246,0.7933183828460008,0.7933183828460008,0.0,23,0,13981,0,1163.0,60.0,607.8695652173913,307.63548508327136,0.0,0.0,0.0,0.0,1163,60,607.8695652173913,307.63548508327136,94639.59168241966,460,0,20,23,1317824.6818181819,4465641.0,14517.0,1324932.121299166,28992143.0,4465641.0,14517.0,1317824.6818181819,1324932.121299166,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,607.8695652173913,68,0,4396272.0,324183.0,2248625.375,1194616.3653169097,4100646.0,14517.0,1454393.1538461538,1156472.1194146941,1921.5,4.0,0.0,0.0,1289.33771723814,0.0,607.8695652173913,0.0,0,23,0,13981,0
185.49.192.170,10.10.10.10,53,22,17,2021-09-21 22:45:24,478912.0,6222.4375250567955,4.176132567152211,4.176132567152211,0.0,2,0,2980,0,1490.0,1490.0,1490.0,0.0,0.0,0.0,0.0,0.0,1490,1490,1490.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1490.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.0,0.0,0,2,0,2980,0
167.248.133.71,10.10.10.10,42060,8791,6,2021-09-21 22:45:24,0.0,0,0,0,0,1,0,60,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60,60,60.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,60.0,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0,1,0,60,0
66.249.72.19,10.10.10.10,57468,80,6,2021-09-21 22:45:24,24704010.0,8.986395326102928,0.1214377746770666,0.1214377746770666,0.0,3,0,222,0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,74,74,74.0,0.0,0.0,60,0,20,0,12352005.0,16384027.0,8319983.0,4032022.0,24704010.0,16384027.0,8319983.000000001,12352005.0,4032021.9999999995,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,74.0,65535,0,0.0,0.0,0.0,0.0,8319983.0,8064044.0,8192013.5,127969.5,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0,3,0,222,0
162.159.134.234,10.10.10.10,443,47540,6,2021-09-21 22:45:24,25580377.0,563.5960720985465,0.8600342363992525,0.8600342363992525,0.0,22,0,14417,0,1317.0,60.0,655.3181818181819,488.5960765633079,0.0,0.0,0.0,0.0,1317,60,655.3181818181819,488.5960765633079,238726.12603305784,440,0,20,22,1218113.1904761905,3490112.0,1.0,1069764.689513879,25580377.0,3490112.0,1.0,1218113.1904761905,1069764.689513879,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,655.3181818181819,255,0,3371533.0,5318.0,1381895.5,1028869.3176669717,3025082.0,5379.0,1346731.9,1061684.8712017564,2552.0,4.5,0.0,0.0,3684.842044163236,0.0,655.3181818181819,0.0,0,22,0,14417,0
